Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
Pro Tennis (DECO Cassette) (US),Pro Tennis,protennis,pro tennis,1,1,main,main,Pro Tennis,Pro Tennis,SAME,0,,,
Pro Tennis (Japan),Pro Tennis,protennis,pro tennis,1,1,main,main,Pro Tennis,Pro Tennis,SAME,0,,,
Pro Tennis World Court (Japan),Pro Tennis World Court,protennisworldcourt,pro tennis world court,1,1,main,main,Pro Tennis: World Court,Pro Tennis: World Court,SAME,0,,,
Pro Yakyuu World Stadium (Japan),Pro Yakyuu World Stadium,proyakyuuworldstadium,pro yakyuu world stadium,0,0,,,,,SAME,0,,,
Pro Yakyuu World Stadium '89 (Japan),Pro Yakyuu World Stadium '89,proyakyuuworldstadium89,pro yakyuu world stadium 89,0,0,,,,,SAME,0,,,
Pro Yakyuu World Stadium '90 (Japan),Pro Yakyuu World Stadium '90,proyakyuuworldstadium90,pro yakyuu world stadium 90,0,0,,,,,SAME,0,,,
Professor Pac-Man,Professor Pac-Man,professorpacman,professor pac man,1,1,main,main,Professor Pac-Man,Professor Pac-Man,SAME,0,,,
Progear (USA 010117),Progear,progear,progear,1,1,main,main,Progear,Progear,SAME,0,,,
Psychic 5 (World),Psychic 5,psychic5,psychic 5,1,1,main,main,Psychic 5,Psychic 5,SAME,0,,,
Psychic Force (Ver 2.4O),Psychic Force,psychicforce,psychic force,1,1,main,main,Psychic Force,Psychic Force,SAME,0,,,
Psychic Force EX (Ver 2.0J),Psychic Force EX,psychicforceex,psychic force ex,1,1,main,main,Psychic Force EX,Psychic Force EX,SAME,0,,,
Psycho Soldier (US),Psycho Soldier,psychosoldier,psycho soldier,1,1,main,main,Psycho Soldier,Psycho Soldier,SAME,0,,,
Psycho-Nics Oscar (World revision 0),Psycho-Nics Oscar,psychonicsoscar,psycho nics oscar,1,1,main,main,Psycho-Nics Oscar,Psycho-Nics Oscar,SAME,0,,,
Psyvariar -Medium Unit- (V2.02O 20000222 1300),Psyvariar -Medium Unit-,psyvariarmediumunit,psyvariar medium unit,1,1,main,main,Psyvariar -Medium Unit-,Psyvariar -Medium Unit-,SAME,0,,,
Psyvariar -Revision- (V2.04J 20000811 2200),Psyvariar -Revision-,psyvariarrevision,psyvariar revision,1,1,main,main,Psyvariar: Revision,Psyvariar: Revision,SAME,0,,,
Puchi Carat (Ver 2.02O 19971029),Puchi Carat,puchicarat,puchi carat,1,1,main,main,Puchi Carat,Puchi Carat,SAME,0,,,
"Puck Man (Japan, set 1)",Puck Man,puckman,puck man,0,0,,,,,SAME,0,,,
Puckman Pockimon Genie 2000,Puckman Pockimon Genie 2000,puckmanpockimongenie2000,puckman pockimon genie 2000,1,1,main,main,Puckman Pockimon Genie 2000,Puckman Pockimon Genie 2000,SAME,0,,,
PuLiRuLa (Japan),PuLiRuLa,pulirula,pulirula,1,1,main,main,PuLiRuLa,PuLiRuLa,SAME,0,,,
"PuLiRuLa (World, dual PCB)",PuLiRuLa,pulirula,pulirula,1,1,main,main,PuLiRuLa,PuLiRuLa,SAME,0,,,
Pulsar,Pulsar,pulsar,pulsar,1,1,main,main,Pulsar,Pulsar,SAME,0,,,
Punch-Out!! (Rev B),Punch-Out!!,punchout,punch out,1,1,main,main,Punch-Out!!,Punch-Out!!,SAME,0,,,
Punk Shot (US 4 Players),Punk Shot,punkshot,punk shot,1,1,main,main,Punk Shot,Punk Shot,SAME,0,,,
Pururun (set 1),Pururun,pururun,pururun,1,1,main,main,Pururun,Pururun,SAME,0,,,
"Pushman (Korea, set 1)",Pushman,pushman,pushman,1,1,main,main,Pushman,Pushman,SAME,0,,,
Puyo Puyo (World),Puyo Puyo,puyopuyo,puyo puyo,1,1,main,main,Puyo Puyo,Puyo Puyo,SAME,0,,,
Puyo Puyo 2 (Japan),Puyo Puyo 2,puyopuyo2,puyo puyo 2,1,1,main,main,Puyo Puyo 2,Puyo Puyo 2,SAME,0,,,
Puyo Puyo Sun (J 961115 V0.001),Puyo Puyo Sun,puyopuyosun,puyo puyo sun,1,1,main,main,Puyo Puyo Sun,Puyo Puyo Sun,SAME,0,,,
"Puzz Loop (Europe, v0.94)",Puzz Loop,puzzloop,puzz loop,1,1,main,main,Puzz Loop,Puzz Loop,SAME,0,,,
Puzzle &amp;amp;amp;amp; Action Ichidant-R (World),Puzzle &amp;amp;amp;amp; Action Ichidant-R,puzzleampampampampactionichidantr,puzzle amp amp amp amp action ichidant r,0,0,,,,,SAME,0,,,
Puzzle &amp;amp;amp;amp; Action Sando-R (J 951114 V1.000),Puzzle &amp;amp;amp;amp; Action Sando-R,puzzleampampampampactionsandor,puzzle amp amp amp amp action sando r,0,0,,,,,SAME,0,,,
Puzzle &amp;amp;amp;amp; Action Tant-R (Japan),Puzzle &amp;amp;amp;amp; Action Tant-R,puzzleampampampampactiontantr,puzzle amp amp amp amp action tant r,0,0,,,,,SAME,0,,,
Puzzle &amp;amp;amp;amp; Action Treasure Hunt (JUET 970901 V2.00E),Puzzle &amp;amp;amp;amp; Action Treasure Hunt,puzzleampampampampactiontreasurehunt,puzzle amp amp amp amp action treasure hunt,0,0,,,,,SAME,0,,,
"Puzzle Bobble (Japan, B-System)",Puzzle Bobble,puzzlebobble,puzzle bobble,1,1,main,main,Puzzle Bobble,Puzzle Bobble,SAME,0,,,
Puzzle Bobble 2 (Ver 2.3O 19950731),Puzzle Bobble 2,puzzlebobble2,puzzle bobble 2,0,0,,,,,SAME,0,,,
Puzzle Bobble 2X (Ver 2.2J 19951111),Puzzle Bobble 2X,puzzlebobble2x,puzzle bobble 2x,1,1,main,main,Puzzle Bobble 2X,Puzzle Bobble 2X,SAME,0,,,
Puzzle Bobble 3 (Ver 2.1O 19960927),Puzzle Bobble 3,puzzlebobble3,puzzle bobble 3,1,1,main,main,Puzzle Bobble 3,Puzzle Bobble 3,SAME,0,,,
