Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Similarity Score,Partial Matched Name,Partial Match Type
Space Fury (revision C),Space Fury,spacefury,space fury,1,1,main,main,Space Fury,Space Fury,SAME,0,,,
Space Guerrilla,Space Guerrilla,spaceguerrilla,space guerrilla,1,1,main,main,Space Guerrilla,Space Guerrilla,SAME,0,,,
Space Gun (World),Space Gun,spacegun,space gun,1,1,main,main,Space Gun,Space Gun,SAME,0,,,
"Space Harrier (Rev A, 8751 315-5163A)",Space Harrier,spaceharrier,space harrier,1,1,main,main,Space Harrier,Space Harrier,SAME,0,,,
Space Intruder,Space Intruder,spaceintruder,space intruder,1,1,main,main,Space Intruder,Space Intruder,SAME,0,,,
Space Invaders / Qix Silver Anniversary Edition (Ver. 2.03),Space Invaders / Qix Silver Anniversary Edition,spaceinvadersqixsilveranniversaryedition,space invaders qix silver anniversary edition,1,1,main,main,Space Invaders: Qix Silver Anniversary Edition,Space Invaders: Qix Silver Anniversary Edition,SAME,0,,,
Space Invaders / Space Invaders M,Space Invaders / Space Invaders M,spaceinvadersspaceinvadersm,space invaders space invaders m,0,0,,,,,SAME,0,,,
Space Invaders '95 The Attack Of Lunar Loonies (Ver 2.5O 19950614),Space Invaders '95 The Attack Of Lunar Loonies,spaceinvaders95theattackoflunarloonies,space invaders 95 the attack of lunar loonies,1,1,main,main,Space Invaders '95: The Attack of Lunar Loonies,Space Invaders '95: The Attack of Lunar Loonies,SAME,0,,,
Space Invaders Deluxe,Space Invaders Deluxe,spaceinvadersdeluxe,space invaders deluxe,0,0,,,,,SAME,0,,,
"Space Invaders DX (US, v2.1)",Space Invaders DX,spaceinvadersdx,space invaders dx,1,1,main,main,Space Invaders DX,Space Invaders DX,SAME,0,,,
"Space Invaders II (Midway, cocktail)",Space Invaders II,spaceinvaders2,space invaders ii,1,1,main,main,Space Invaders II,Space Invaders II,SAME,0,,,
Space Invaders Multigame (M8.03D),Space Invaders Multigame,spaceinvadersmultigame,space invaders multigame,1,1,main,main,Space Invaders Multigame,Space Invaders Multigame,SAME,0,,,
"Space Invaders Part II (Taito, bigger ROMs)",Space Invaders Part II,spaceinvaderspart2,space invaders part ii,1,1,main,main,Space Invaders Part II,Space Invaders Part II,SAME,0,,,
Space Invasion (Europe),Space Invasion,spaceinvasion,space invasion,0,0,,,,,SAME,0,,,
Space King,Space King,spaceking,space king,1,1,main,main,Space King,Space King,SAME,0,,,
Space King 2,Space King 2,spaceking2,space king 2,1,1,main,main,Space King 2,Space King 2,SAME,0,,,
Space Launcher,Space Launcher,spacelauncher,space launcher,1,1,main,main,Space Launcher,Space Launcher,SAME,0,,,
Space Lords (rev C),Space Lords,spacelords,space lords,1,1,main,main,Space Lords,Space Lords,SAME,0,,,
Space Odyssey (version 2),Space Odyssey,spaceodyssey,space odyssey,1,1,main,main,Space Odyssey,Space Odyssey,SAME,0,,,
Space Panic (version E),Space Panic,spacepanic,space panic,1,1,main,main,Space Panic,Space Panic,SAME,0,,,
Space Pokan,Space Pokan,spacepokan,space pokan,0,0,,,,,SAME,0,,,
Space Position (Japan),Space Position,spaceposition,space position,1,1,main,main,Space Position,Space Position,SAME,0,,,
Space Raider,Space Raider,spaceraider,space raider,1,1,main,main,Space Raider,Space Raider,SAME,0,,,
"Space Ranger (Arcadia, V 2.0)",Space Ranger,spaceranger,space ranger,1,1,main,main,Space Ranger,Space Ranger,SAME,0,,,
Space Seeker,Space Seeker,spaceseeker,space seeker,1,1,main,main,Space Seeker,Space Seeker,SAME,0,,,
Space Stranger,Space Stranger,spacestranger,space stranger,1,1,main,main,Space Stranger,Space Stranger,SAME,0,,,
Space Tactics,Space Tactics,spacetactics,space tactics,1,1,main,main,Space Tactics,Space Tactics,SAME,0,,,
Space Trek (upright),Space Trek,spacetrek,space trek,1,1,main,main,Space Trek,Space Trek,SAME,0,,,
Space Walk,Space Walk,spacewalk,space walk,1,1,main,main,Space Walk,Space Walk,SAME,0,,,
Space War (Leijac Corporation),Space War,spacewar,space war,0,0,,,,,SAME,0,,,
Space War (Sanritsu),Space War,spacewar,space war,0,0,,,,,SAME,0,,,
Space Wars,Space Wars,spacewars,space wars,1,1,main,main,Space Wars,Space Wars,SAME,0,,,
Space Zap (Midway),Space Zap,spacezap,space zap,1,1,main,main,Space Zap,Space Zap,SAME,0,,,
"Spark Man (v2.0, set 1)",Spark Man,sparkman,spark man,1,1,main,main,Spark Man,Spark Man,SAME,0,,,
Spatter (315-5096),Spatter,spatter,spatter,1,1,main,main,Spatter,Spatter,SAME,0,,,
Speak &amp;amp;amp;amp; Rescue,Speak &amp;amp;amp;amp; Rescue,speakampampampamprescue,speak amp amp amp amp rescue,0,0,,,,,SAME,0,,,
Special Criminal Investigation (World set 1),Special Criminal Investigation,specialcriminalinvestigation,special criminal investigation,1,1,main,main,Special Criminal Investigation,Special Criminal Investigation,SAME,0,,,
Special Forces - Kung Fu Commando,Special Forces - Kung Fu Commando,specialforceskungfucommando,special forces kung fu commando,1,1,main,main,Special Forces: Kung Fu Commando,Special Forces: Kung Fu Commando,SAME,0,,,
Special Forces II,Special Forces II,specialforces2,special forces ii,1,1,main,main,Special Forces II,Special Forces II,SAME,0,,,
Spectar (revision 3),Spectar,spectar,spectar,1,1,main,main,Spectar,Spectar,SAME,0,,,
"Spectrum 2000 (horizontal, buggy) (Europe)",Spectrum 2000,spectrum2000,spectrum 2000,1,1,main,main,Spectrum 2000,Spectrum 2000,SAME,0,,,
"Spectrum 2000 (vertical, Korea)",Spectrum 2000,spectrum2000,spectrum 2000,1,1,main,main,Spectrum 2000,Spectrum 2000,SAME,0,,,
Speed Ball (set 1),Speed Ball,speedball,speed ball,1,1,main,main,Speed Ball,Speed Ball,SAME,0,,,
Speed Freak,Speed Freak,speedfreak,speed freak,1,1,main,main,Speed Freak,Speed Freak,SAME,0,,,
Speed Race (Seletron  Olympia),Speed Race,speedrace,speed race,1,1,main,main,Speed Race,Speed Race,SAME,0,,,
Speed Racer,Speed Racer,speedracer,speed racer,0,0,,,,,SAME,0,,,
Speed Spin,Speed Spin,speedspin,speed spin,1,1,main,main,Speed Spin,Speed Spin,SAME,0,,,
Speed Up (version 2.20),Speed Up,speedup,speed up,1,1,main,main,Speed Up,Speed Up,SAME,0,,,
Spelunker,Spelunker,spelunker,spelunker,1,1,main,main,Spelunker,Spelunker,SAME,0,,,
Spelunker II - 23 no Kagi (Japan),Spelunker II - 23 no Kagi,spelunker223nokagi,spelunker ii 23 no kagi,1,1,main,main,Spelunker II: 23 no Kagi,Spelunker II: 23 no Kagi,SAME,0,,,
"Spider (Buena Vision, without nudity)",Spider,spider,spider,1,1,main,main,Spider,Spider,SAME,0,,,
Spider-Man: The Videogame (World),Spider-Man: The Videogame,spidermanthevideogame,spider man the videogame,1,0,main,,Spider-Man: The Video Game,,WORSE,0,,,
Spiders (set 1),Spiders,spiders,spiders,1,1,main,main,Spiders,Spiders,SAME,0,,,
Spiker (6986),Spiker,spiker,spiker,1,1,main,main,Spiker,Spiker,SAME,0,,,
Spinal Breakers (World),Spinal Breakers,spinalbreakers,spinal breakers,1,1,main,main,Spinal Breakers,Spinal Breakers,SAME,0,,,
Splash! (Ver. 1.2 World),Splash!,splash,splash,1,1,main,main,Splash!,Splash!,SAME,0,,,
Splat!,Splat!,splat,splat,1,1,main,main,Splat!,Splat!,SAME,0,,,
"Splatter House (World, new version (SH3))",Splatter House,splatterhouse,splatter house,1,0,main,,Splatterhouse,,WORSE,0,,,
Splendor Blast (set 1),Splendor Blast,splendorblast,splendor blast,1,1,main,main,Splendor Blast,Splendor Blast,SAME,0,,,
Splendor Blast II,Splendor Blast II,splendorblast2,splendor blast ii,1,1,main,main,Splendor Blast II,Splendor Blast II,SAME,0,,,
Sports Match,Sports Match,sportsmatch,sports match,1,1,main,main,Sports Match,Sports Match,SAME,0,,,
"SportStation: NBA Showtime NBA on NBC Gold Edition (ver 3.0, Feb 18 2000) / NFL Blitz 2000 Gold Edition",SportStation: NBA Showtime NBA on NBC Gold Edition / NFL Blitz 2000 Gold Edition,sportstationnbashowtimenbaonnbcgoldeditionnflblitz2000goldedition,sportstation nba showtime nba on nbc gold edition nfl blitz 2000 gold edition,0,0,,,,,SAME,0,,,
"SportTime Bowling (Arcadia, V 2.1)",SportTime Bowling,sporttimebowling,sporttime bowling,1,1,main,main,SportTime Bowling,SportTime Bowling,SAME,0,,,
"SportTime Table Hockey (Arcadia, set 1, V 2.1)",SportTime Table Hockey,sporttimetablehockey,sporttime table hockey,1,1,main,main,SportTime Table Hockey,SportTime Table Hockey,SAME,0,,,
"Spot (Arcadia, V 2.0)",Spot,spot,spot,1,1,main,main,Spot,Spot,SAME,0,,,
Springer,Springer,springer,springer,1,1,main,main,Springer,Springer,SAME,0,,,
Sprint 1,Sprint 1,sprint1,sprint 1,0,0,,,,,SAME,0,,,
Sprint 2 (set 1),Sprint 2,sprint2,sprint 2,1,1,main,main,Sprint 2,Sprint 2,SAME,0,,,
Sprint 4 (Rev 03),Sprint 4,sprint4,sprint 4,1,1,main,main,Sprint 4,Sprint 4,SAME,0,,,
Sprint 8,Sprint 8,sprint8,sprint 8,1,1,main,main,Sprint 8,Sprint 8,SAME,0,,,
Spy Hunter,Spy Hunter,spyhunter,spy hunter,1,1,main,main,Spy Hunter,Spy Hunter,SAME,0,,,
Spy Hunter II (rev 2),Spy Hunter II,spyhunter2,spy hunter ii,1,1,main,main,Spy Hunter II,Spy Hunter II,SAME,0,,,
Squash (Itisa),Squash,squash,squash,1,1,main,main,Squash,Squash,SAME,0,,,
"Squash (ver. 1.0, checksum 015aef61)",Squash,squash,squash,1,1,main,main,Squash,Squash,SAME,0,,,
SRD Super Real Darwin (World),SRD Super Real Darwin,srdsuperrealdarwin,srd super real darwin,1,1,main,main,SRD: Super Real Darwin,SRD: Super Real Darwin,SAME,0,,,
Stack Columns (World),Stack Columns,stackcolumns,stack columns,1,1,main,main,Stack Columns,Stack Columns,SAME,0,,,
Stadium Cross (World),Stadium Cross,stadiumcross,stadium cross,1,1,main,main,Stadium Cross,Stadium Cross,SAME,0,,,
"Stadium Cross (World, linkable)",Stadium Cross,stadiumcross,stadium cross,1,1,main,main,Stadium Cross,Stadium Cross,SAME,0,,,
Stadium Hero (Japan),Stadium Hero,stadiumhero,stadium hero,1,1,main,main,Stadium Hero,Stadium Hero,SAME,0,,,
"Stadium Hero '96 (Europe, EAJ, Tuning license)",Stadium Hero '96,stadiumhero96,stadium hero 96,1,1,main,main,Stadium Hero '96,Stadium Hero '96,SAME,0,,,
Stagger I (Japan),Stagger I,staggeri,stagger i,0,0,,,,,SAME,0,,,
Star Castle (version 3),Star Castle,starcastle,star castle,1,1,main,main,Star Castle,Star Castle,SAME,0,,,
Star Cruiser,Star Cruiser,starcruiser,star cruiser,1,1,main,main,Star Cruiser,Star Cruiser,SAME,0,,,
Star Fighter (v1),Star Fighter,starfighter,star fighter,1,1,main,main,Star Fighter,Star Fighter,SAME,0,,,
Star Fire (set 1),Star Fire,starfire,star fire,1,1,main,main,Star Fire,Star Fire,SAME,0,,,
Star Fire 2,Star Fire 2,starfire2,star fire 2,1,1,main,main,Star Fire 2,Star Fire 2,SAME,0,,,
Star Force,Star Force,starforce,star force,0,0,,,,,SAME,0,,,
Star Gladiator Episode I Final Crusade (USA 960627),Star Gladiator Episode I Final Crusade,stargladiatorepisodeifinalcrusade,star gladiator episode i final crusade,1,1,main,main,Star Gladiator Episode I: Final Crusade,Star Gladiator Episode I: Final Crusade,SAME,0,,,
Star Guards,Star Guards,starguards,star guards,1,1,main,main,Star Guards,Star Guards,SAME,0,,,
Star Jacker (Sega),Star Jacker,starjacker,star jacker,1,1,main,main,Star Jacker,Star Jacker,SAME,0,,,
Star Jacker (Stern Electronics),Star Jacker,starjacker,star jacker,1,1,main,main,Star Jacker,Star Jacker,SAME,0,,,
Star Raker,Star Raker,starraker,star raker,1,1,main,main,Star Raker,Star Raker,SAME,0,,,
Star Soldier Vanishing Earth,Star Soldier Vanishing Earth,starsoldiervanishingearth,star soldier vanishing earth,1,1,main,main,Star Soldier: Vanishing Earth,Star Soldier: Vanishing Earth,SAME,0,,,
Star Trek,Star Trek,startrek,star trek,0,0,,,,,SAME,0,,,
Star Wars (set 1),Star Wars,starwars,star wars,1,1,main,main,Star Wars,Star Wars,SAME,0,,,
Star Wars Arcade (US),Star Wars Arcade,starwarsarcade,star wars arcade,1,1,main,main,Star Wars Arcade,Star Wars Arcade,SAME,0,,,
"Starblade (ST2, World)",Starblade,starblade,starblade,1,1,main,main,StarBlade,StarBlade,SAME,0,,,
Stargate,Stargate,stargate,stargate,1,1,main,main,Stargate,Stargate,SAME,0,,,
Starhawk,Starhawk,starhawk,starhawk,1,1,main,main,Starhawk,Starhawk,SAME,0,,,
Starship 1,Starship 1,starship1,starship 1,1,1,main,main,Starship 1,Starship 1,SAME,0,,,
Steal See,Steal See,stealsee,steal see,1,1,main,main,Steal See,Steal See,SAME,0,,,
Steel Force,Steel Force,steelforce,steel force,1,1,main,main,Steel Force,Steel Force,SAME,0,,,
Steel Gunner (Rev B),Steel Gunner,steelgunner,steel gunner,1,1,main,main,Steel Gunner,Steel Gunner,SAME,0,,,
Steel Gunner 2 (US),Steel Gunner 2,steelgunner2,steel gunner 2,1,1,main,main,Steel Gunner 2,Steel Gunner 2,SAME,0,,,
Steel Talons (rev 2),Steel Talons,steeltalons,steel talons,1,1,main,main,Steel Talons,Steel Talons,SAME,0,,,
Steel Worker,Steel Worker,steelworker,steel worker,1,1,main,main,Steel Worker,Steel Worker,SAME,0,,,
Steep Slope Sliders (JUET 981110 V1.000),Steep Slope Sliders,steepslopesliders,steep slope sliders,1,1,main,main,Steep Slope Sliders,Steep Slope Sliders,SAME,0,,,
Steering Champ (GQ710 97/12/18 VER. UAA),Steering Champ,steeringchamp,steering champ,1,1,main,main,Steering Champ,Steering Champ,SAME,0,,,
Step Champ (GQ930 VER. JA),Step Champ,stepchamp,step champ,1,1,main,main,Step Champ,Step Champ,SAME,0,,,
Stinger,Stinger,stinger,stinger,1,1,main,main,Stinger,Stinger,SAME,0,,,
Stocker (31985),Stocker,stocker,stocker,1,1,main,main,Stocker,Stocker,SAME,0,,,
Stompin' (4486),Stompin',stompin,stompin,1,1,main,main,Stompin',Stompin',SAME,0,,,
"Stone Ball (4 Players, v1-20 13121994)",Stone Ball,stoneball,stone ball,1,1,main,main,Stone Ball,Stone Ball,SAME,0,,,
Storm Blade (US),Storm Blade,stormblade,storm blade,1,1,main,main,Storm Blade,Storm Blade,SAME,0,,,
Straight Flush,Straight Flush,straightflush,straight flush,1,1,main,main,Straight Flush,Straight Flush,SAME,0,,,
Strata Bowling (V3),Strata Bowling,stratabowling,strata bowling,1,1,main,main,Strata Bowling,Strata Bowling,SAME,0,,,
Strategy X,Strategy X,strategyx,strategy x,1,1,main,main,Strategy X,Strategy X,SAME,0,,,
Streaking (set 1),Streaking,streaking,streaking,1,1,main,main,Streaking,Streaking,SAME,0,,,
Street Fight (Germany),Street Fight,streetfight,street fight,0,0,,,,,SAME,0,,,
"Street Fighter (US, set 1)",Street Fighter,streetfighter,street fighter,1,1,main,main,Street Fighter,Street Fighter,SAME,0,,,
Street Fighter EX (Europe 961219),Street Fighter EX,streetfighterex,street fighter ex,1,1,main,main,Street Fighter EX,Street Fighter EX,SAME,0,,,
Street Fighter EX Plus (USA 970407),Street Fighter EX Plus,streetfighterexplus,street fighter ex plus,1,1,main,main,Street Fighter EX Plus,Street Fighter EX Plus,SAME,0,,,
Street Fighter EX2 (Europe 980312),Street Fighter EX2,streetfighterex2,street fighter ex2,1,1,main,main,Street Fighter EX2,Street Fighter EX2,SAME,0,,,
Street Fighter EX2 Plus (Europe 990611),Street Fighter EX2 Plus,streetfighterex2plus,street fighter ex2 plus,1,1,main,main,Street Fighter EX2 Plus,Street Fighter EX2 Plus,SAME,0,,,
Street Fighter: The Movie (v1.12),Street Fighter: The Movie,streetfighterthemovie,street fighter the movie,1,1,main,main,Street Fighter: The Movie,Street Fighter: The Movie,SAME,0,,,
Street Football (111286),Street Football,streetfootball,street football,1,1,main,main,Street Football,Street Football,SAME,0,,,
"Street Heat (set 1, newer)",Street Heat,streetheat,street heat,1,1,main,main,Street Heat,Street Heat,SAME,0,,,
Street Smart (US version 2),Street Smart,streetsmart,street smart,1,1,main,main,Street Smart,Street Smart,SAME,0,,,
Streets of Rage II (Mega Play),Streets of Rage II,streetsofrage2,streets of rage ii,1,0,main,,Streets of Rage 2,,WORSE,0,,,
Strength &amp;amp;amp;amp; Skill,Strength &amp;amp;amp;amp; Skill,strengthampampampampskill,strength amp amp amp amp skill,0,0,,,,,SAME,0,,,
"Strider (USA, B-Board 89624B-2)",Strider,strider,strider,1,1,main,main,Strider,Strider,SAME,0,,,
Strider 2 (Europe 991213),Strider 2,strider2,strider 2,1,1,main,main,Strider 2,Strider 2,SAME,0,,,
Strike Bowling,Strike Bowling,strikebowling,strike bowling,1,1,main,main,Strike Bowling,Strike Bowling,SAME,0,,,
Strike Fighter (World),Strike Fighter,strikefighter,strike fighter,1,1,main,main,Strike Fighter,Strike Fighter,SAME,0,,,
Strike Force (rev 1 022591),Strike Force,strikeforce,strike force,1,1,main,main,Strike Force,Strike Force,SAME,0,,,
Strike Gunner S.T.G,Strike Gunner S.T.G,strikegunnerstg,strike gunner s t g,1,1,main,main,Strike Gunner S.T.G,Strike Gunner S.T.G,SAME,0,,,
Strike Zone Baseball,Strike Zone Baseball,strikezonebaseball,strike zone baseball,1,1,main,main,Strike Zone Baseball,Strike Zone Baseball,SAME,0,,,
Strikers 1945 (World),Strikers 1945,strikers1945,strikers 1945,1,1,main,main,Strikers 1945,Strikers 1945,SAME,0,,,
Strikers 1945 II,Strikers 1945 II,strikers19452,strikers 1945 ii,1,1,main,main,Strikers 1945 II,Strikers 1945 II,SAME,0,,,
Strikers 1945 III (World)  Strikers 1999 (Japan),Strikers 1945 III  Strikers 1999,strikers19453strikers1999,strikers 1945 iii strikers 1999,0,0,,,,,SAME,0,,,
Stunt Air,Stunt Air,stuntair,stunt air,1,1,main,main,Stunt Air,Stunt Air,SAME,0,,,
Submarine (Sigma),Submarine,submarine,submarine,1,1,main,main,Submarine,Submarine,SAME,0,,,
Subroc-3D,Subroc-3D,subroc3d,subroc 3d,1,1,main,main,Subroc-3D,Subroc-3D,SAME,0,,,
Subs,Subs,subs,subs,1,1,main,main,Subs,Subs,SAME,0,,,
Success Joe (World),Success Joe,successjoe,success joe,1,1,main,main,Success Joe,Success Joe,SAME,0,,,
Suiko Enbu / Outlaws of the Lost Dynasty (JUETL 950314 V2.001),Suiko Enbu / Outlaws of the Lost Dynasty,suikoenbuoutlawsofthelostdynasty,suiko enbu outlaws of the lost dynasty,0,0,,,,,SAME,0,,,
Sundance,Sundance,sundance,sundance,1,1,main,main,Sundance,Sundance,SAME,0,,,
Sunset Riders (2 Players ver ABD),Sunset Riders,sunsetriders,sunset riders,1,1,main,main,Sunset Riders,Sunset Riders,SAME,0,,,
Sunset Riders (4 Players ver EAC),Sunset Riders,sunsetriders,sunset riders,1,1,main,main,Sunset Riders,Sunset Riders,SAME,0,,,
Super Astro Fighter (DECO Cassette) (US),Super Astro Fighter,superastrofighter,super astro fighter,1,1,main,main,Super Astro Fighter,Super Astro Fighter,SAME,0,,,
Super Bagman (version 5),Super Bagman,superbagman,super bagman,1,1,main,main,Super Bagman,Super Bagman,SAME,0,,,
Super Bar,Super Bar,superbar,super bar,1,1,main,main,Super Bar,Super Bar,SAME,0,,,
Super Baseball Double Play Home Run Derby,Super Baseball Double Play Home Run Derby,superbaseballdoubleplayhomerunderby,super baseball double play home run derby,1,1,main,main,Super Baseball Double Play Home Run Derby,Super Baseball Double Play Home Run Derby,SAME,0,,,
"Super Basketball (version I, encrypted)",Super Basketball,superbasketball,super basketball,1,1,main,main,Super Basketball,Super Basketball,SAME,0,,,
"Super Bishi Bashi Champ (ver JAA, 2 Players)",Super Bishi Bashi Champ,superbishibashichamp,super bishi bashi champ,0,0,,,,,SAME,0,,,
"Super Bishi Bashi Champ (ver KAA, 3 Players)",Super Bishi Bashi Champ,superbishibashichamp,super bishi bashi champ,0,0,,,,,SAME,0,,,
Super Breakout (rev 04),Super Breakout,superbreakout,super breakout,1,1,main,main,Super Breakout,Super Breakout,SAME,0,,,
"Super Bubble 2003 (World, Ver 1.0)",Super Bubble 2003,superbubble2003,super bubble 2003,1,1,main,main,Super Bubble 2003,Super Bubble 2003,SAME,0,,,
Super Bug,Super Bug,superbug,super bug,1,1,main,main,Super Bug,Super Bug,SAME,0,,,
"Super Burger Time (World, set 1)",Super Burger Time,superburgertime,super burger time,1,1,main,main,Super Burger Time,Super Burger Time,SAME,0,,,
Super Buster Bros. (USA 901001),Super Buster Bros.,superbusterbros,super buster bros,1,1,main,main,Super Buster Bros.,Super Buster Bros.,SAME,0,,,
Super Champion Baseball (US),Super Champion Baseball,superchampionbaseball,super champion baseball,1,1,main,main,Super Champion Baseball,Super Champion Baseball,SAME,0,,,
Super Chase - Criminal Termination (World),Super Chase - Criminal Termination,superchasecriminaltermination,super chase criminal termination,1,1,main,main,Super Chase: Criminal Termination,Super Chase: Criminal Termination,SAME,0,,,
Super Chick,Super Chick,superchick,super chick,0,0,,,,,SAME,0,,,
Super Cobra,Super Cobra,supercobra,super cobra,1,1,main,main,Super Cobra,Super Cobra,SAME,0,,,
Super Contra (set 1),Super Contra,supercontra,super contra,1,1,main,main,Super Contra,Super Contra,SAME,0,,,
"Super Cross II (Japan, set 1)",Super Cross II,supercross2,super cross ii,1,1,main,main,Super Cross II,Super Cross II,SAME,0,,,
Super Crowns Golf (World),Super Crowns Golf,supercrownsgolf,super crowns golf,1,1,main,main,Super Crowns Golf,Super Crowns Golf,SAME,0,,,
Super Dead Heat (World),Super Dead Heat,superdeadheat,super dead heat,1,1,main,main,Super Dead Heat,Super Dead Heat,SAME,0,,,
Super Dodge Ball (US),Super Dodge Ball,superdodgeball,super dodge ball,1,1,main,main,Super Dodge Ball,Super Dodge Ball,SAME,0,,,
Super Doubles Tennis,Super Doubles Tennis,superdoublestennis,super doubles tennis,1,1,main,main,Super Doubles Tennis,Super Doubles Tennis,SAME,0,,,
Super Doubles Tennis (DECO Cassette) (Japan),Super Doubles Tennis,superdoublestennis,super doubles tennis,1,1,main,main,Super Doubles Tennis,Super Doubles Tennis,SAME,0,,,
Super Duck,Super Duck,superduck,super duck,1,1,main,main,Super Duck,Super Duck,SAME,0,,,
Super Eagle Shot,Super Eagle Shot,supereagleshot,super eagle shot,1,1,main,main,Super Eagle Shot,Super Eagle Shot,SAME,0,,,
Super Football Champ (Ver 2.5O),Super Football Champ,superfootballchamp,super football champ,1,1,main,main,Super Football Champ,Super Football Champ,SAME,0,,,
Super Free Kick (set 1),Super Free Kick,superfreekick,super free kick,1,1,main,main,Super Free Kick,Super Free Kick,SAME,0,,,
Super Glob,Super Glob,superglob,super glob,0,0,,,,,SAME,0,,,
Super Hang-On (sitdown/upright) (unprotected),Super Hang-On,superhangon,super hang on,1,1,main,main,Super Hang-On,Super Hang-On,SAME,0,,,
Super High Impact (rev LA1 093091),Super High Impact,superhighimpact,super high impact,1,1,main,main,Super High Impact,Super High Impact,SAME,0,,,
Super League (FD1094 317-0045),Super League,superleague,super league,0,0,,,,,SAME,0,,,
Super Locomotive (Rev.A),Super Locomotive,superlocomotive,super locomotive,1,1,main,main,Super Locomotive,Super Locomotive,SAME,0,,,
Super Lup Lup Puzzle / Zhuan Zhuan Puzzle (version 4.0 / 990518),Super Lup Lup Puzzle / Zhuan Zhuan Puzzle,superlupluppuzzlezhuanzhuanpuzzle,super lup lup puzzle zhuan zhuan puzzle,0,0,,,,,SAME,0,,,
Super Major League (U 960108 V1.000),Super Major League,supermajorleague,super major league,1,1,main,main,Super Major League,Super Major League,SAME,0,,,
Super Mario World - Mario Undoukai,Super Mario World - Mario Undoukai,supermarioworldmarioundoukai,super mario world mario undoukai,1,1,main,main,Super Mario World: Mario Undoukai,Super Mario World: Mario Undoukai,SAME,0,,,
"Super Masters Golf (World, Floppy Based, FD1094 317-0058-05d)",Super Masters Golf,supermastersgolf,super masters golf,1,1,main,main,Super Masters Golf,Super Masters Golf,SAME,0,,,
Super Miss World,Super Miss World,supermissworld,super miss world,1,1,main,main,Super Miss World,Super Miss World,SAME,0,,,
Super Missile Attack (for rev 1),Super Missile Attack,supermissileattack,super missile attack,1,1,main,main,Super Missile Attack,Super Missile Attack,SAME,0,,,
Super Model,Super Model,supermodel,super model,1,1,main,main,Super Model,Super Model,SAME,0,,,
Super Model II,Super Model II,supermodel2,super model ii,1,1,main,main,Super Model II,Super Model II,SAME,0,,,
"Super Monaco GP (World, Rev B) (FD1094 317-0126a)",Super Monaco GP,supermonacogp,super monaco gp,1,1,main,main,Super Monaco GP,Super Monaco GP,SAME,0,,,
Super Mouse,Super Mouse,supermouse,super mouse,0,0,,,,,SAME,0,,,
Super Pac-Man,Super Pac-Man,superpacman,super pac man,1,1,main,main,Super Pac-Man,Super Pac-Man,SAME,0,,,
Super Pang (World 900914),Super Pang,superpang,super pang,0,0,,,,,SAME,0,,,
Super Pinball Action (US),Super Pinball Action,superpinballaction,super pinball action,1,1,main,main,Super Pinball Action,Super Pinball Action,SAME,0,,,
Super Pool III (English),Super Pool III,superpool3,super pool iii,1,1,main,main,Super Pool III,Super Pool III,SAME,0,,,
Super Punch-Out!! (Rev B),Super Punch-Out!!,superpunchout,super punch out,1,1,main,main,Super Punch-Out!!,Super Punch-Out!!,SAME,0,,,
Super Puzzle Bobble (V2.05O 1999224 1800),Super Puzzle Bobble,superpuzzlebobble,super puzzle bobble,1,1,main,main,Super Puzzle Bobble,Super Puzzle Bobble,SAME,0,,,
"Super Qix (WorldJapan, V1.2)",Super Qix,superqix,super qix,1,1,main,main,Super Qix,Super Qix,SAME,0,,,
Super Ranger (v2.0),Super Ranger,superranger,super ranger,0,0,,,,,SAME,0,,,
Super Rider,Super Rider,superrider,super rider,1,1,main,main,Super Rider,Super Rider,SAME,0,,,
Super Shanghai Dragon's Eye (World),Super Shanghai Dragon's Eye,supershanghaidragonseye,super shanghai dragon s eye,1,1,main,main,Super Shanghai Dragon's Eye,Super Shanghai Dragon's Eye,SAME,0,,,
Super Shot (set 1),Super Shot,supershot,super shot,1,1,main,main,Super Shot,Super Shot,SAME,0,,,
Super Slam (set 1),Super Slam,superslam,super slam,1,1,main,main,Super Slam,Super Slam,SAME,0,,,
"Super Space Invaders '91 (World, revised code, Rev 1)",Super Space Invaders '91,superspaceinvaders91,super space invaders 91,0,0,,,,,SAME,0,,,
Super Spacefortress Macross  Chou-Jikuu Yousai Macross,Super Spacefortress Macross  Chou-Jikuu Yousai Macross,superspacefortressmacrosschoujikuuyousaimacross,super spacefortress macross chou jikuu yousai macross,0,0,,,,,SAME,0,,,
Super Spacefortress Macross II  Chou-Jikuu Yousai Macross II,Super Spacefortress Macross II  Chou-Jikuu Yousai Macross II,superspacefortressmacross2choujikuuyousaimacross2,super spacefortress macross ii chou jikuu yousai macross ii,0,0,,,,,SAME,0,,,
Super Special Criminal Investigation (Negro Torino hack),Super Special Criminal Investigation,superspecialcriminalinvestigation,super special criminal investigation,1,1,main,main,Super Special Criminal Investigation,Super Special Criminal Investigation,SAME,0,,,
Super Speed Race,Super Speed Race,superspeedrace,super speed race,1,1,main,main,Super Speed Race,Super Speed Race,SAME,0,,,
Super Speed Race Junior (Japan),Super Speed Race Junior,superspeedracejunior,super speed race junior,0,0,,,,,SAME,0,,,
