Original Name,Cleaned Name,Normalized (OLD),Normalized (NEW),Match OLD,Match NEW,Type OLD,Type NEW,Matched OLD,Matched NEW,Improvement,Partial Match,Custom Similarity Score,Jaro-Winkler Score,Partial Matched Name,Partial Match Type
Infection (1989)(Virgin Mastertronic)(Prototype)[cr],Infection,infection,Infection,0,0,,,,,SAME,1,0.3190909090909091,0.7675805675805676,Incantation,main
Infernal House (1991)(Lankhor)(fr)(Side A),Infernal House,infernalhouse,Infernal House,1,1,main,main,Infernal House,Infernal House,SAME,0,,,,
Infernal House (1991)(Lankhor)(fr)(Side B),Infernal House,infernalhouse,Infernal House,1,1,main,main,Infernal House,Infernal House,SAME,0,,,,
Infernal Runner (1985)(Loriciels)(fr),Infernal Runner,infernalrunner,Infernal Runner,1,1,main,main,Infernal Runner,Infernal Runner,SAME,0,,,,
Infidel (1986)(Infocom)[CPM],Infidel,infidel,Infidel,1,1,main,main,Infidel,Infidel,SAME,0,,,,
Infiltrator (1986)(US Gold),Infiltrator,infiltrator,Infiltrator,1,1,main,main,Infiltrator,Infiltrator,SAME,0,,,,
Infodroid (1986)(Beyond Software),Infodroid,infodroid,Infodroid,1,1,main,main,Infodroid,Infodroid,SAME,0,,,,
Ingrid's Back (1988)(Level 9 Computing)(Side A),Ingrid's Back,ingridsback,Ingrid s Back,1,1,main,main,Ingrid's Back,Ingrid's Back,SAME,0,,,,
Ingrid's Back (1988)(Level 9 Computing)(Side B),Ingrid's Back,ingridsback,Ingrid s Back,1,1,main,main,Ingrid's Back,Ingrid's Back,SAME,0,,,,
"Inheritance, The (1987)(Infogrames)","Inheritance, The",inheritance,Inheritance The,0,0,,,,,SAME,1,0.3090909090909091,0.8649350649350649,Inertie,main
"Inhumanos, Los (1990)(Delta Software)(es)","Inhumanos, Los",inhumanos,Inhumanos Los,1,0,main,,Los Inhumanos,,WORSE,1,1.0,1.0,Los Inhumanos,main
Inquisitor - Shade of Swords (1988)(Chip)(fr),Inquisitor - Shade of Swords,inquisitorshadeofswords,Inquisitor Shade of Swords,1,1,main,main,Inquisitor: Shade of Swords,Inquisitor: Shade of Swords,SAME,0,,,,
Insector Hecti in The Interchange (1991)(Hi-Tec Software),Insector Hecti in The Interchange,insectorhectiintheinterchange,Insector Hecti in The Interchange,1,0,main,,Insector Hecti In the Inter Change,,WORSE,1,1.0,1.0,Insector Hecti In the Inter Change,main
Inside Outing (1987)(The Edge),Inside Outing,insideouting,Inside Outing,1,1,main,main,Inside Outing,Inside Outing,SAME,0,,,,
Interdictor Pilot (1985)(Supersoft),Interdictor Pilot,interdictorpilot,Interdictor Pilot,1,1,main,main,Interdictor Pilot,Interdictor Pilot,SAME,0,,,,
Interieur (1985)(Sprites)(fr),Interieur,interieur,Interieur,1,1,main,main,Interieur,Interieur,SAME,0,,,,
International 3D Tennis (1990)(Palace Software)(v2),International 3D Tennis,international3dtennis,International 3D Tennis,1,1,main,main,International 3D Tennis,International 3D Tennis,SAME,0,,,,
International Karate (1986)(Endurance Games),International Karate,internationalkarate,International Karate,1,1,main,main,International Karate,International Karate,SAME,0,,,,
International Karate+ (1988)(System 3),International Karate+,internationalkarate,International Karate,1,1,main,main,International Karate,International Karate,SAME,0,,,,
International Ninja Rabbits (1991)(Micro Value)[cr XOR][t +2 XOR],International Ninja Rabbits,internationalninjarabbits,International Ninja Rabbits,1,1,main,main,International Ninja Rabbits,International Ninja Rabbits,SAME,0,,,,
International Rugby (1985)(Artic Computing)[cr],International Rugby,internationalrugby,International Rugby,1,1,main,main,International Rugby,International Rugby,SAME,0,,,,
International Rugby Simulator (1988)(Codemasters Software)[b],International Rugby Simulator,internationalrugbysimulator,International Rugby Simulator,1,1,main,main,International Rugby Simulator,International Rugby Simulator,SAME,0,,,,
