lindbergh|.game
sega32x|.32x;.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
segacd|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
segacdjp|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
segacd32x|.68k;.bin;.bms;.chd;.cue;.gen;.gg;.iso;.m3u;.md;.mdx;.sg;.sgd;.smd;.sms;.7z;.zip
sfc|.smc;.sfc;.mgd;.zip;.bin;.7z;.bs;.fig;.swc;.gd7;.dx2;.bsx;.gd3
sg-1000|.sg;.zip;.7z;.rom;.bin;.gg;.sms
sg1000|.sg;.zip;.7z;.rom;.bin;.gg;.sms
sgb|.gb;.gbc;.gb2;.gbc2;.zip;.7z
Sharp X1|.dx1;.2d;.2hd;.tfd;.d88;.88d;.hdm;.xdf;.dup;.cmd;.zip;.7z
Sharp X68000|.dim;.img;.d88;.88d;.hdm;.dup;.2hd;.xdf;.hdf;.cmd;.m3u;.zip;.7z
shmups|.zip;.7z
Sinclair ZX Spectrum|.tzx;.tap;.z80;.rzx;.scl;.trd;.zip;.7z
Sinclair ZX-81|.tzx;.p;.zip;.7z;.tap;.z80;.rzx;.scl;.trd
singe2|.cmd
snes-msu1|.sfc;.smc;.bml;.m3u
snes-msu|.sfc;.smc;.bml;.m3u
snescd|.smc;.sfc;.mgd;.zip;.bin;.7z;.bs;.fig;.swc
snesmini|.smc;.sfc;.mgd;.zip;.bin;.7z;.bs;.fig;.swc;.gd7;.dx2;.bsx;.gd3
snesna|.smc;.sfc;.mgd;.zip;.7z;.fig;.gd3;.gd7;.dx2;.bsx;.swc;.rom
snes|.smc;.sfc;.mgd;.zip;.7z;.fig;.gd3;.gd7;.dx2;.bsx;.swc;.rom
SNK Neo Geo CD|.cue;.iso;.chd;.m3u;.cso
SNK Neo Geo MVS|.zip;.7z
SNK Neo Geo Pocket Color|.ngp;.ngc;.ngpc;.npc;.zip;.7z
SNK Neo Geo Pocket|25
SNK Neo Geo|.ngp;.ngc;.ngpc;.npc;.zip;.7z
socrates|.bin;.zip;.7z
solarus|.solarus;.zip
sonicretro|.son;.scd
Sony Playstation 2|.iso;.img;.pbp;.cue;.ccd;.bin;.mdf;.cso;.ima;.nrg;.dump;.gz;.chd
Sony Playstation 3|.iso;.img;.pbp;.cue;.ccd;.bin;.mdf;.cso;.ima;.nrg;.dump;.gz;.ps3;.psn;.squashfs;.m3u
Sony Playstation 4|.iso;.img;.pbp;.cue;.ccd;.bin;.mdf;.cso;.ima;.nrg;.dump;.gz;.ps3;.psn;.squashfs;.m3u
Sony Playstation Vita|.zip;.vpk
